trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,7,-76.09790314682635,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 2}",1
2,False,"{'a': 0.01, 'e': 0.25}",25,0,-69.20919951095212,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.1111111111111111}",25,0,-75.23335506764842,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.0625}",20,5,-56.372308700435596,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
5,False,"{'a': 0.01, 'e': 0.04}",25,5,27.303883952361367,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.01, 'e': 0.027777777777777776}",30,0,47.63130224498096,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.02040816326530612}",20,0,26.902768677183932,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.015625}",25,10,16.86455586762118,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.01, 'e': 0.012345679012345678}",20,0,34.18668516066758,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.01}",30,0,40.77654616936512,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.008264462809917356}",20,0,27.962368311954346,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.006944444444444444}",30,0,23.553365214523687,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.005917159763313609}",25,0,42.792900195868306,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.00510204081632653}",20,0,33.87534516683918,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.0044444444444444444}",30,10,-8.850392281622288,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.00390625}",20,0,32.428066777600094,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.0034602076124567475}",20,0,29.348610178579342,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.0030864197530864196}",30,8,14.633153967989678,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.002770083102493075}",20,0,29.68532837746164,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.0025}",25,0,29.440910477670577,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.0022675736961451248}",30,0,42.534031828907686,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.002066115702479339}",30,6,8.810255083324993,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.01, 'e': 0.001890359168241966}",35,0,54.4644993435066,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.001736111111111111}",20,3,24.740616025112804,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.01, 'e': 0.0016}",20,7,20.814246817699075,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.0014792899408284023}",20,0,29.56599452439246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.0013717421124828531}",25,0,22.455194742885087,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.0012755102040816326}",30,0,47.818010743018746,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.01, 'e': 0.0011890606420927466}",25,0,35.973266846751926,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.0011111111111111111}",20,0,23.886093445571944,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.001040582726326743}",30,0,11.14633364978922,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",1
32,False,"{'a': 0.01, 'e': 0.0009765625}",35,0,55.252224291353365,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,3,24.46894197541315,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,37.87923643980713,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
