trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.7480514672838,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-50.479529815290896,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",30,0,-10.473049068324954,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,10.469096955841575,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.04}",35,0,12.2340426122045,"{0: 33, 1: 1, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,6.622815620947288,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",30,0,39.51790716320589,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.015625}",20,0,30.196942402761337,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,15,-47.61150903745653,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.01}",20,0,-35.77617842818546,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,0,29.011760734081548,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,0,25.047220668021833,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",25,0,22.763509397327645,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",25,0,33.32807670499802,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",20,5,-16.61595654828856,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.00390625}",30,0,48.05600667072507,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",25,2,9.704903250418305,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",25,8,30.08880793117433,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",25,16,15.608420072859314,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0025}",25,4,-27.17409227782205,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.0022675736961451248}",30,1,41.120944173444016,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.002066115702479339}",20,0,30.05100610375954,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.001890359168241966}",20,0,26.68042079137206,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.001736111111111111}",25,13,17.408962808566056,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.0016}",20,2,28.029214572820432,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.0014792899408284023}",20,0,27.469536621106464,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.0013717421124828531}",20,9,23.27048825595037,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.0012755102040816326}",20,0,29.761231554926777,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.0011890606420927466}",20,0,26.36909773177105,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.0011111111111111111}",20,16,9.46733146466578,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.001040582726326743}",25,9,27.919525837001878,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.0009765625}",25,0,44.02251595991073,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.0009182736455463728}",25,0,33.351952436383044,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.0008650519031141869}",20,5,23.29202705998179,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.0008163265306122449}",20,14,11.668158280159073,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
