trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-104.09248511299452,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.24995000166664444}",20,0,14.537712605137687,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.11106111486099862}",25,0,-83.61361965288889,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.06245000666631112}",25,0,-11.45606508449212,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.039950010415798654}",20,0,26.31719220289682,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.027727792775977894}",30,8,-11.204163568590943,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.01, 'e': 0.02035818367863836}",20,0,25.74119552769254,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.015575026660978429}",20,0,-20.18592600981592,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.012295712753234498}",25,0,11.80727946427906,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.009950041652780257}",25,0,-13.946694760662805,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.008214513206253693}",25,2,36.14534001707679,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.006894504415651849}",25,11,19.849524304902573,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.00586723014032419}",25,0,34.58780747318658,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.005052122429656311}",25,0,31.001083495511235,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.004394538124160188}",20,0,29.85602905321393,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
