trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",20,13,-23.52840545795127,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-31.134725615098823,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.125}",25,4,-62.87189013573426,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.0625}",25,7,-32.603672221491365,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.03125}",30,0,0.22981711082939227,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.015625}",25,0,-12.423553531729086,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.0078125}",25,2,36.32903379054781,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.00390625}",20,0,29.96615451925951,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.001953125}",25,4,30.23940130701328,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.0009765625}",30,2,44.4691978530429,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.00048828125}",20,8,19.848592521289195,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.000244140625}",20,14,10.50451357636145,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.0001220703125}",30,0,22.582555241448794,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 6.103515625e-05}",25,0,36.23659257875941,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 3.0517578125e-05}",30,0,18.969387176624572,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.52587890625e-05}",20,0,30.070316506742753,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 7.62939453125e-06}",25,0,33.38302928289795,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 3.814697265625e-06}",25,14,20.312304083032195,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.9073486328125e-06}",20,7,22.061898273759862,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 9.5367431640625e-07}",25,10,25.61918832547127,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,18,21.383030739801512,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,2,43.65233954997926,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,7,30.643571706371812,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
