trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9950041652780257}",20,0,-199.21434188121313,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.2450166444603104}",30,0,-100.15078692867674,"{0: 24, 1: 3, 2: 0, 3: 0, 4: 3}",0
3,False,"{'a': 0.1, 'e': 0.10614849879173399}",20,0,-69.95691325534064,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.05756631212518032}",20,0,3.2922599940859554,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.03510330247561491}",25,0,22.02152042659999,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.022925989303046616}",20,0,21.626918881372024,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.015609024230295681}",30,0,32.643296748202346,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.010886042333549461}",20,0,-23.193197172382963,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.007674197139144006}",20,13,8.466915681472,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.1, 'e': 0.005403023058681397}",20,0,20.525957592787965,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.0037487282762444407}",20,7,18.99015579583571,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.1, 'e': 0.0025163732949768985}",20,6,2.7803573677009683,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.1, 'e': 0.001582833305470931}",20,0,24.68694312085594,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.0008671793005114327}",20,0,28.164605897564893,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.00031438756296756846}",20,0,26.000876615693993,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.00011406063398940944}",25,0,31.587423548765678,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.00044582869998451507}",20,0,28.222206058508235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.0007012410330033553}",20,0,25.01426064734578,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
