trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-197.44604984191201,"{0: 9, 1: 5, 2: 2, 3: 0, 4: 4}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-92.49051060900783,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-214.01690004047578,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-89.69974665088196,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-68.75204739238352,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,0,-147.15163567770745,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-79.52935326602174,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-174.2829119051781,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,0,-250.99774759163873,"{0: 16, 1: 4, 2: 3, 3: 3, 4: 4}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-143.85133482507212,"{0: 7, 1: 1, 2: 11, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",35,0,-66.33210835724223,"{0: 23, 1: 7, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-88.23989132019582,"{0: 20, 1: 1, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,3,-62.98181460467872,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-115.20322345405532,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-109.85923761059577,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-139.99457182218347,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-118.66893744074925,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,17,-47.25575735442366,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-162.6187048109207,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-172.57930138062642,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-157.6675736693959,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",30,0,-238.0802517650276,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-114.35284700714358,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,0,-74.79469966214741,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,2,-26.890044195834175,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",30,0,-95.63165801700768,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-142.39332383518058,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,1,-155.35528728672148,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 3}",1
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-44.371804974598206,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-124.77545909511353,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,1,-113.61946439243307,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 1}",1
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",30,0,-183.01066223934157,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-85.92731987797364,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-77.24222244562928,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-207.82347079362427,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-171.04218661269869,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",30,0,-263.78286372683726,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 5}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-108.05012994437571,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-117.9264608706619,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-73.02047617551196,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",30,0,-173.11085310230578,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,8,12.241768312212132,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",35,0,-198.09657034380103,"{0: 23, 1: 1, 2: 6, 3: 2, 4: 3}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",30,0,-134.94321805882885,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,0,-74.5190648601277,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-97.20791756140578,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",30,0,-119.59908752135979,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-47.89822662636075,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",20,0,-88.91784905036826,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-149.5655891006733,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-190.5496018866221,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-50.07041854355773,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,14,0.5481148163075114,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-50.983146269278,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",25,0,-64.81597371322144,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,4,-75.79077261487842,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",35,4,-118.86007336108182,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 2}",1
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,7,-15.839219610435475,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,0,-65.65230300220757,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-63.09902756353271,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-108.3397481776176,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
