trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.01}",20,0,-16.607506329029746,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.0001}",20,0,-64.70161713037177,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
3,False,"{'a': 0.01, 'e': 1.0000000000000002e-06}",25,13,25.47753943381291,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.01, 'e': 1e-08}",25,12,-9.41761312007109,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,False,"{'a': 0.01, 'e': 1.0000000000000002e-10}",20,13,0.05413408679281129,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.01, 'e': 1.0000000000000002e-12}",30,9,4.5500448751343034,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.01, 'e': 1.0000000000000002e-14}",25,0,32.91235932344088,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 1.0000000000000002e-16}",25,0,38.90639320260611,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.01, 'e': 1.0000000000000003e-18}",20,0,12.970411521182161,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 1.0000000000000002e-20}",20,6,21.472842101215168,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 1.0000000000000003e-22}",30,4,15.390662403691627,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.01, 'e': 1.0000000000000003e-24}",30,11,23.789027713094374,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.01, 'e': 1.0000000000000003e-26}",30,0,39.408759025605896,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 1.0000000000000003e-28}",20,0,3.8829208476001327,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.01, 'e': 1.0000000000000003e-30}",30,0,1.9428813607520687,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 1.0000000000000003e-32}",20,0,30.454033368746778,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 1.0000000000000004e-34}",20,0,31.28727237737456,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 1.0000000000000004e-36}",20,0,28.014827441999913,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.01, 'e': 1.0000000000000004e-38}",30,7,38.507924973123735,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': 1.0000000000000003e-40}",20,2,21.880059660780116,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,32.626007703754404,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",35,17,30.032617182969062,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,44.43842250770877,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,41.6131513810706,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,44.37039875399987,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,7,29.907473035150616,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,0,36.348189285081496,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,17,22.00502746385229,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,32.561757977918035,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,28.98468518220654,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.0, 'e': 0.0}",30,0,45.24477616431212,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0.0, 'e': 0.0}",20,0,27.083307486928803,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0.0, 'e': 0.0}",30,19,17.04954015057733,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",25,12,24.610293714025076,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",25,0,33.327786183019,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0.0, 'e': 0.0}",20,0,29.01962923006693,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0.0, 'e': 0.0}",20,10,17.724845919311655,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",25,0,-4.142837061152167,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,True,"{'a': 0.0, 'e': 0.0}",20,0,28.68985215873177,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0.0, 'e': 0.0}",20,13,14.92925391955206,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.0, 'e': 0.0}",20,0,28.823668856782138,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,True,"{'a': 0.0, 'e': 0.0}",30,2,-0.774111994458927,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
23,True,"{'a': 0.0, 'e': 0.0}",20,0,26.301380573825274,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,True,"{'a': 0.0, 'e': 0.0}",35,0,54.762263387060955,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,True,"{'a': 0.0, 'e': 0.0}",30,0,46.000527726516545,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,True,"{'a': 0.0, 'e': 0.0}",20,5,23.193759502156063,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0.0, 'e': 0.0}",25,13,20.63695582365561,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0.0, 'e': 0.0}",20,2,28.550592405214676,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0.0, 'e': 0.0}",20,13,10.708671173612581,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.0, 'e': 0.0}",20,0,27.706953217511415,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,True,"{'a': 0.0, 'e': 0.0}",25,0,27.610627726225896,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,True,"{'a': 0.0, 'e': 0.0}",25,10,22.067009564761392,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0.0, 'e': 0.0}",25,0,40.81918725937047,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,True,"{'a': 0.0, 'e': 0.0}",20,0,32.74360713915654,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,True,"{'a': 0.0, 'e': 0.0}",30,0,36.32729455781881,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,True,"{'a': 0.0, 'e': 0.0}",20,12,15.606601448209707,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0.0, 'e': 0.0}",20,1,26.063239216575102,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0.0, 'e': 0.0}",20,0,-11.186925237017471,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,True,"{'a': 0.0, 'e': 0.0}",30,0,49.52373438294767,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,True,"{'a': 0.0, 'e': 0.0}",20,0,27.8966018462135,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,True,"{'a': 0.0, 'e': 0.0}",30,0,22.591908729965475,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
42,True,"{'a': 0.0, 'e': 0.0}",20,0,25.033597311569416,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,True,"{'a': 0.0, 'e': 0.0}",30,0,0.5544394127265362,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
44,True,"{'a': 0.0, 'e': 0.0}",20,3,25.23308059058695,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0.0, 'e': 0.0}",25,16,15.032495637118961,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0.0, 'e': 0.0}",20,0,21.685307286048964,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,True,"{'a': 0.0, 'e': 0.0}",20,0,30.51281159418357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,True,"{'a': 0.0, 'e': 0.0}",20,3,28.49942736299112,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0.0, 'e': 0.0}",20,6,26.236092209161576,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0.0, 'e': 0.0}",20,0,29.204269320084595,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,True,"{'a': 0.0, 'e': 0.0}",25,0,32.189618503641995,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,True,"{'a': 0.0, 'e': 0.0}",30,20,18.376398109553854,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'a': 0.0, 'e': 0.0}",20,0,27.506398190719757,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,True,"{'a': 0.0, 'e': 0.0}",20,0,33.51833732319668,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,True,"{'a': 0.0, 'e': 0.0}",30,4,19.555703643879475,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
56,True,"{'a': 0.0, 'e': 0.0}",20,0,26.79305543593008,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
