trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.1}",20,0,-96.13844600621331,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.010000000000000002}",20,0,-58.12053832867752,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.0010000000000000002}",20,0,-29.322792313805547,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.00010000000000000002}",20,4,25.27574450652568,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.1, 'e': 1.0000000000000003e-05}",25,0,36.6729794205206,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.1, 'e': 1.0000000000000004e-06}",25,0,34.446218139569616,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 1.0000000000000004e-07}",20,1,-15.187782181302529,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.1, 'e': 1.0000000000000005e-08}",20,0,21.901336665335773,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 1.0000000000000005e-09}",25,20,8.969412004953552,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.1, 'e': 1.0000000000000006e-10}",30,2,40.9793418249856,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.1, 'e': 1.0000000000000006e-11}",30,0,37.81534960300972,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.1, 'e': 1.0000000000000006e-12}",20,2,29.20212763032409,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.1, 'e': 1.0000000000000007e-13}",20,0,27.23467224634928,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.1, 'e': 1.0000000000000008e-14}",30,0,36.457786392222296,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 1.0000000000000009e-15}",20,8,20.439549927559057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 1.0000000000000008e-16}",20,12,13.712450014257636,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': 1.000000000000001e-17}",20,9,18.692213123867063,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.1, 'e': 1.000000000000001e-18}",30,4,44.05482872837372,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.1, 'e': 1.000000000000001e-19}",25,0,40.70774048785701,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.1, 'e': 1.0000000000000011e-20}",20,0,29.72164572800021,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,36.31610858506545,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",35,0,27.823241511064538,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,34.87692040668049,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,26.04146406391869,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,12,13.387253495053482,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,4,33.14932926285203,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,0,6.1230244712815995,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,36.2874127631474,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,16,17.426677239160792,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,24.80279676226626,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
