trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-150.2691291915672,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.13507557646703494}",20,0,19.648692469923713,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.007859689074189212}",20,0,-15.560897585142024,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.0260091772841964}",20,0,-13.87998777407873,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.03204574462187735}",25,14,2.678162016482203,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.027499791572234596}",20,0,2.0207277524522924,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.01911136096511829}",20,0,-79.6646928147596,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.010213181575993937}",20,0,25.266734401275137,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.0026024172769232063}",25,10,26.43295989553004,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.002836621854632263}",25,13,20.0505975876598,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.005856774994142644}",35,18,26.586313257957272,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.006667849212849765}",30,0,32.01079815069777,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.005778625004307831}",20,0,31.59879118551048,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.0038464400731801256}",30,16,29.173118741591413,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.0015406014126001148}",35,21,27.06048816535214,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.0005683595070648966}",20,2,28.840404878792544,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.0020830861684595975}",20,13,5.526343973652203,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0028121304379156694}",25,9,23.68265133900183,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.002762249740156173}",20,10,17.83507636471409,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.002097678822691131}",20,0,31.298082314785983,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.001078315029469371}",20,8,19.701311127240903,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 9.144004107542947e-06}",20,12,12.932785254138683,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,12,2.5122222658022633,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,16,27.181479481666877,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,8,23.812573072480465,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,11,16.324013990001518,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,28.099926392826454,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,12,33.225424558866465,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,11.926731789419932,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,39.558361332904425,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,8,21.29753388722892,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,8,23.148650718712066,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",25,7,0.555966347132359,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
