trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",30,10,-58.627748395081916,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",25,15,-6.194386959130033,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,0,-62.06224459796303,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,0,-78.17801619929892,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-21.91460451859287,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-11.8968773848295,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,-32.553243198470696,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,0,-31.342140831092593,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,-48.13414943563892,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,8,-24.842982926769714,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,0,-49.98872207789852,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",25,8,-23.38367410987049,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,1.0498930327592872,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,0,-67.33613874230922,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",35,11,-45.01681893125854,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 1}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,0,-90.45207305955194,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-4.569453987425031,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-105.70209319369175,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,0,-38.01388315666159,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",30,20,17.283963668071042,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,2,11.950227370585722,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,5,-34.27582037178222,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,1,14.988900941101178,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,4,-67.44629905531797,"{0: 12, 1: 1, 2: 0, 3: 2, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,0,-40.81406247146143,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",35,21,-14.971358541665364,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",25,0,10.901835684956636,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,15,18.16488287631654,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,0,-71.4363054307408,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,5,-15.012641780335983,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",25,12,-18.246708062606253,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",25,11,-7.372743373776302,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,13,-39.774656772478565,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,9,-37.62313597751552,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,16,-46.59889870961982,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,0,-7.421141846550615,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,2,-21.320363777149073,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,0,28.01516276191821,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,0,-46.427933693407034,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,8,-87.82122703945184,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",20,0,-56.85008803239177,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,10,-25.09040709863903,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,11,10.25131953481906,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",30,14,-13.605758498372834,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",30,10,19.632033944735895,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",25,0,18.672982565455985,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",20,2,-55.1004035891975,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",20,10,-28.906448743376153,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,10,5.706672281297463,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",30,0,46.654651080702415,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,13,15.387055615730816,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,6,27.01689267672511,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,5,-27.758024447094407,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",30,1,20.83322498907176,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",30,18,19.652156298951112,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,0,22.74914728443537,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",20,13,10.01979708372285,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",30,23,15.983951179273344,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299934}",30,7,30.66008678144038,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",25,7,24.930039978892392,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,6,11.708490390698014,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,6,16.166139550261263,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.1403316058467367}",20,0,6.423218076247441,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
