trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",20,0,-38.91813498874062,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.25}",25,0,-64.77378824104645,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.1111111111111111}",25,0,-7.748588776595115,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.0625}",20,0,5.434511972213373,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,False,"{'a': 0.1, 'e': 0.04}",25,9,4.530097655118771,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.1, 'e': 0.027777777777777776}",20,2,28.7651455400814,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.1, 'e': 0.02040816326530612}",20,11,16.107490688663702,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.1, 'e': 0.015625}",25,2,31.8551210131189,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.1, 'e': 0.012345679012345678}",25,0,22.430030584209643,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.01}",25,0,-9.393364492671296,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.008264462809917356}",30,1,-1.866794991156221,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 0}",1
12,False,"{'a': 0.1, 'e': 0.006944444444444444}",25,15,-27.430425499395177,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.1, 'e': 0.005917159763313609}",20,0,28.196865544214457,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.1, 'e': 0.00510204081632653}",30,0,37.42505684641832,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.0044444444444444444}",25,17,16.629581856343624,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.00390625}",30,0,31.07772609096766,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
