trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9950041652780257}",20,0,-158.73375941864683,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9800665778412416}",25,0,-113.64498119490356,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.955336489125606}",20,0,-114.49305872966919,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.9210609940028851}",30,0,-204.0452420330216,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.1, 'e': 0.8775825618903728}",20,0,-95.3267060723625,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.8253356149096782}",20,0,-14.395427039121982,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.7648421872844884}",20,0,-75.02735886467143,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.6967067093471655}",20,0,-19.613764863725706,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.6216099682706645}",25,0,-50.94478676291469,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.5403023058681398}",35,0,-55.94051530073819,"{0: 29, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.4535961214255773}",35,20,16.878989865611807,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.1, 'e': 0.3623577544766734}",35,0,-29.178752422790197,"{0: 30, 1: 0, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.26749882862458735}",35,17,-5.377821186092424,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.1, 'e': 0.16996714290024081}",20,8,-2.679020186839831,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.1, 'e': 0.0707372016677029}",25,2,11.6324614224707,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.029199522301288815}",25,14,18.277142022986126,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.12884449429552486}",25,0,39.413647746017745,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.2272020946930871}",30,13,29.499864503170222,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.1, 'e': 0.3232895668635036}",25,0,-0.4300528580736298,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.4161468365471424}",20,0,-42.494308431332556,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
21,False,"{'a': 0.1, 'e': 0.5048461045998575}",35,5,-46.36446914846895,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",1
22,False,"{'a': 0.1, 'e': 0.5885011172553458}",20,9,-28.11717783834203,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.1, 'e': 0.6662760212798243}",20,0,-19.931614859066656,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.1, 'e': 0.7373937155412458}",20,0,-29.86101325391961,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.8011436155469337}",20,0,-88.37330895754668,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
26,False,"{'a': 0.1, 'e': 0.8568887533689473}",25,4,-35.497428184520274,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 0}",1
27,False,"{'a': 0.1, 'e': 0.9040721420170612}",25,8,-95.94311441741746,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 1}",1
28,False,"{'a': 0.1, 'e': 0.9422223406686583}",20,0,-34.65346674261217,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.1, 'e': 0.9709581651495907}",20,0,-116.09111321568034,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.1, 'e': 0.9899924966004454}",25,0,-140.9779686610439,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
31,False,"{'a': 0.1, 'e': 0.9991351502732795}",25,10,-67.55977009617638,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
32,False,"{'a': 0.1, 'e': 0.9982947757947531}",20,0,-96.73734094869359,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.1, 'e': 0.9874797699088649}",20,0,-38.65212504370617,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
34,False,"{'a': 0.1, 'e': 0.9667981925794609}",20,0,-165.45620893326864,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
35,False,"{'a': 0.1, 'e': 0.9364566872907963}",20,0,-92.77589904768887,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
36,False,"{'a': 0.1, 'e': 0.896758416334147}",25,0,-108.8534766543069,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
37,False,"{'a': 0.1, 'e': 0.848100031710408}",20,0,-80.84689346223033,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.1, 'e': 0.7909677119144165}",25,0,-50.64385625998811,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.1, 'e': 0.7259323042001399}",25,4,-20.15719565809426,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 0}",1
